street-custodian	local-authority
114	local-authority-eng:BAS
116	local-authority-eng:BST
119	local-authority-eng:SGC
121	local-authority-eng:NSM
230	local-authority-eng:LUT
235	local-authority-eng:BDF
240	local-authority-eng:CBF
335	local-authority-eng:BRC
340	local-authority-eng:WBK
345	local-authority-eng:RDG
350	local-authority-eng:SLG
355	local-authority-eng:WNM
360	local-authority-eng:WOK
405	local-authority-eng:AYL
410	local-authority-eng:SBU
415	local-authority-eng:CHN
425	local-authority-eng:WYO
430	local-authority-eng:BKM
435	local-authority-eng:MIK
505	local-authority-eng:CAB
510	local-authority-eng:ECA
515	local-authority-eng:FEN
520	local-authority-eng:HUN
530	local-authority-eng:SCA
535	local-authority-eng:CAM
540	local-authority-eng:PTE
650	local-authority-eng:HAL
655	local-authority-eng:WRT
660	local-authority-eng:CHE
665	local-authority-eng:CHW
724	local-authority-eng:HPL
728	local-authority-eng:RCC
734	local-authority-eng:MDB
738	local-authority-eng:STT
835	local-authority-eng:IOS
840	local-authority-eng:CON
900	local-authority-eng:CMA
905	local-authority-eng:ALL
910	local-authority-eng:BAR
915	local-authority-eng:CAR
920	local-authority-eng:COP
925	local-authority-eng:EDN
930	local-authority-eng:SLA
1005	local-authority-eng:AMB
1010	local-authority-eng:BOS
1015	local-authority-eng:CHS
1025	local-authority-eng:ERE
1030	local-authority-eng:HIG
1035	local-authority-eng:NED
1040	local-authority-eng:SDE
1045	local-authority-eng:DEB
1050	local-authority-eng:DBY
1055	local-authority-eng:DER
1105	local-authority-eng:EDE
1110	local-authority-eng:EXE
1115	local-authority-eng:NDE
1125	local-authority-eng:SHA
1130	local-authority-eng:TEI
1135	local-authority-eng:MDE
1145	local-authority-eng:TOR
1150	local-authority-eng:WDE
1155	local-authority-eng:DEV
1160	local-authority-eng:PLY
1165	local-authority-eng:TOB
1210	local-authority-eng:CHC
1215	local-authority-eng:NDO
1225	local-authority-eng:PUR
1230	local-authority-eng:WDO
1235	local-authority-eng:WEY
1240	local-authority-eng:EDO
1245	local-authority-eng:DOR
1250	local-authority-eng:BMH
1255	local-authority-eng:POL
1350	local-authority-eng:DAL
1355	local-authority-eng:DUR
1410	local-authority-eng:EAS
1415	local-authority-eng:HAS
1425	local-authority-eng:LEE
1430	local-authority-eng:ROH
1435	local-authority-eng:WEA
1440	local-authority-eng:ESX
1445	local-authority-eng:BNH
1505	local-authority-eng:BAI
1510	local-authority-eng:BRA
