street-custodian	administrative-area	town	locality	name	place
1910	HERTFORDSHIRE	ALDBURY			74546623
1910	HERTFORDSHIRE	BERKHAMSTED			74546398
1910	HERTFORDSHIRE	BOVINGDON			74553169
1910	HERTFORDSHIRE	CHIPPERFIELD			74552844
1910	HERTFORDSHIRE	FLAMSTEAD			74550658
1910	HERTFORDSHIRE	GREAT GADDESDEN			74550639
1910	HERTFORDSHIRE	HEMEL HEMPSTEAD			74550625
1910	HERTFORDSHIRE	HEMEL HEMPSTEAD	GREAT GADDESDEN		74550639
1910	HERTFORDSHIRE	KINGS LANGLEY			74550630
1910	HERTFORDSHIRE	LITTLE GADDESDEN			74548130
1910	HERTFORDSHIRE	LONG MARSTON			74546868
1910	HERTFORDSHIRE	MARKYATE			74553187
1910	HERTFORDSHIRE	NORTHCHURCH			74546617
1910	HERTFORDSHIRE	POTTEN END			74553173
1910	HERTFORDSHIRE	TRING			74548120
1910	HERTFORDSHIRE	WIGGINTON			74557848
